Position,Object,Model,,Selected_object,Confidence_rating
Back,Sunglasses,NAS,second_object,sunglass,46
Back,Sunglasses,vgg,second_object,basketball,1
Back,Sunglasses,incep,third_object,sandbar,0
Back,Sunglasses,NAS,third_object,sandbar,0
Back,Sunglasses,vgg,third_object,tick,1
Back,Umbrella,incep,first_object,umbrella,100
Back,Umbrella,NAS,first_object,umbrella,90
Back,Umbrella,vgg,first_object,umbrella,79
Back,Umbrella,incep,second_object,mountain_tent,0
Back,Umbrella,NAS,second_object,kimono,0
Back,Umbrella,vgg,second_object,mortarboard,2
Back,Umbrella,incep,third_object,parachute,0
Back,Umbrella,NAS,third_object,tripod,0
Back,Umbrella,vgg,third_object,table_lamp,1
Back,Wine_bottle,incep,first_object,wine_bottle,91
Back,Wine_bottle,NAS,first_object,wine_bottle,84
Back,Wine_bottle,vgg,first_object,beer_bottle,55
Back,Wine_bottle,incep,second_object,beer_bottle,5
Back,Wine_bottle,NAS,second_object,red_wine,3
Back,Wine_bottle,vgg,second_object,wine_bottle,36
Back,Wine_bottle,incep,third_object,red_wine,2
Back,Wine_bottle,NAS,third_object,beer_botte,3
Back,Wine_bottle,vgg,third_object,pop_bottle,5
From_left,Coffee_mug,incep,first_object,coffee_mug,58
From_left,Coffee_mug,NAS,first_object,coffee_mug,78
From_left,Coffee_mug,vgg,first_object,coffee_mug,62
From_left,Coffee_mug,incep,second_object,cup,29
From_left,Coffee_mug,NAS,second_object,cup,6
From_left,Coffee_mug,vgg,second_object,cup,35
From_left,Coffee_mug,incep,third_object,bucket,1
From_left,Coffee_mug,NAS,third_object,espresso,0
From_left,Coffee_mug,vgg,third_object,thimble,1
From_left,Hammer,incep,first_object,parking_meter,16
From_left,Hammer,NAS,first_object,hammer,93
From_left,Hammer,vgg,first_object,nail,24
From_left,Hammer,incep,second_object,screwdriver,9
From_left,Hammer,NAS,second_object,hatchet,0
From_left,Hammer,vgg,second_object,crutch,14
From_left,Hammer,incep,third_object,vacuum,4
From_left,Hammer,NAS,third_object,parking_meter,0
From_left,Hammer,vgg,third_object,pole,10
From_left,Notebook,incep,first_object,notebook,55
From_left,Notebook,NAS,first_object,notebook,54
From_left,Notebook,vgg,first_object,letter_opener,17
From_left,Notebook,incep,second_object,laptop,31
From_left,Notebook,NAS,second_object,laptop,34
From_left,Notebook,vgg,second_object,fountain_pen,16
From_left,Notebook,incep,third_object,modem,0
From_left,Notebook,NAS,third_object,modem,1
From_left,Notebook,vgg,third_object,ladle,7
From_left,Pot,incep,first_object,Crock_Pot,23
From_left,Pot,NAS,first_object,Crock_Pot,89
From_left,Pot,vgg,first_object,ashcan,25
From_left,Pot,incep,second_object,Dutch_oven,17
From_left,Pot,NAS,second_object,hot_pot,0
From_left,Pot,vgg,second_object,bucket,16
From_left,Pot,incep,third_object,caldron,6
From_left,Pot,NAS,third_object,Dutch_oven,0
From_left,Pot,vgg,third_object,barrel,4
From_left,Soap_dispenser,incep,first_object,lotion,54
From_left,Soap_dispenser,NAS,first_object,lotion,39
From_left,Soap_dispenser,vgg,first_object,soap_dispenser,88
From_left,Soap_dispenser,incep,second_object,hair_spray,10
From_left,Soap_dispenser,NAS,second_object,soap_dispenser,32
From_left,Soap_dispenser,vgg,second_object,water_bottle,6
From_left,Soap_dispenser,incep,third_object,sunscreen,6
From_left,Soap_dispenser,NAS,third_object,water_bottle,5
From_left,Soap_dispenser,vgg,third_object,lotion,1
From_left,Sunglasses,incep,first_object,spindle,14
From_left,Sunglasses,NAS,first_object,barbell,80
From_left,Sunglasses,vgg,first_object,mousetrap,11
From_left,Sunglasses,incep,second_object,hook,7
From_left,Sunglasses,NAS,second_object,mousetrap,4
From_left,Sunglasses,vgg,second_object,barbell,10
From_left,Sunglasses,incep,third_object,loupe,7
From_left,Sunglasses,NAS,third_object,spindle,1
From_left,Sunglasses,vgg,third_object,racer,9
From_left,Umbrella,incep,first_object,umbrella,100
From_left,Umbrella,NAS,first_object,umbrella,92
From_left,Umbrella,vgg,first_object,umbrella,80
From_left,Umbrella,incep,second_object,mountain_tent,0
From_left,Umbrella,NAS,second_object,table_lamp,0
From_left,Umbrella,vgg,second_object,mortarboard,3
From_left,Umbrella,incep,third_object,carton,0
From_left,Umbrella,NAS,third_object,kimono,0
From_left,Umbrella,vgg,third_object,table_lamp,3
From_left,Wine_bottle,incep,first_object,wine_bottle,83
From_left,Wine_bottle,NAS,first_object,wine_bottle,82
From_left,Wine_bottle,vgg,first_object,wine_bottle,66
From_left,Wine_bottle,incep,second_object,beer_bottle,12
From_left,Wine_bottle,NAS,second_object,beer_bottle,7
From_left,Wine_bottle,vgg,second_object,beer_bottle,28
From_left,Wine_bottle,incep,third_object,red_wine,1
From_left,Wine_bottle,NAS,third_object,red_wine,2
From_left,Wine_bottle,vgg,third_object,pop_bottle,2
From_right,Coffee_mug,incep,first_object,coffee_mug,71
From_right,Coffee_mug,NAS,first_object,coffee_mug,71
From_right,Coffee_mug,vgg,first_object,coffee_mug,45
From_right,Coffee_mug,incep,second_object,cup,16
From_right,Coffee_mug,NAS,second_object,cup,11
From_right,Coffee_mug,vgg,second_object,cup,32
From_right,Coffee_mug,incep,third_object,pitcher,2
From_right,Coffee_mug,NAS,third_object,espresso,2
From_right,Coffee_mug,vgg,third_object,thimble,6
From_right,Hammer,incep,first_object,pole,39
From_right,Hammer,NAS,first_object,hammer,92
From_right,Hammer,vgg,first_object,hammer,14
From_right,Hammer,incep,second_object,hammer,6
From_right,Hammer,NAS,second_object,hatchet,0
From_right,Hammer,vgg,second_object,pole,10
From_right,Hammer,incep,third_object,microphone,5
From_right,Hammer,NAS,third_object,shovel,0
From_right,Hammer,vgg,third_object,spatula,7
From_right,Notebook,incep,first_object,notebook,86
From_right,Notebook,NAS,first_object,notebook,52
From_right,Notebook,vgg,first_object,notebook,23
From_right,Notebook,incep,second_object,laptop,6
From_right,Notebook,NAS,second_object,laptop,31
From_right,Notebook,vgg,second_object,laptop,18
From_right,Notebook,incep,third_object,space_bar,0
From_right,Notebook,NAS,third_object,modem,1
From_right,Notebook,vgg,third_object,modem,4
From_right,Pot,incep,first_object,measuring_cup,20
From_right,Pot,NAS,first_object,Crock_Pot,81
From_right,Pot,vgg,first_object,ashcan,27
From_right,Pot,incep,second_object,Dutch_oven,10
From_right,Pot,NAS,second_object,Dutch_oven,6
From_right,Pot,vgg,second_object,bucket,22
From_right,Pot,incep,third_object,beaker,5
From_right,Pot,NAS,third_object,caldron,2
From_right,Pot,vgg,third_object,barrel,5
From_right,Soap_dispenser,incep,first_object,lotion,40
From_right,Soap_dispenser,NAS,first_object,lotion,80
From_right,Soap_dispenser,vgg,first_object,soap_dispenser,85
From_right,Soap_dispenser,incep,second_object,sunscreen,10
From_right,Soap_dispenser,NAS,second_object,soap_dispenser,5
From_right,Soap_dispenser,vgg,second_object,water_bottle,5
From_right,Soap_dispenser,incep,third_object,soap_dispenser,9
From_right,Soap_dispenser,NAS,third_object,sunscreen,1
From_right,Soap_dispenser,vgg,third_object,lotion,5
From_right,Sunglasses,incep,first_object,sandbar,26
From_right,Sunglasses,NAS,first_object,barbell,68
From_right,Sunglasses,vgg,first_object,nail,11
From_right,Sunglasses,incep,second_object,walking_stick,16
From_right,Sunglasses,NAS,second_object,tricycle,6
From_right,Sunglasses,vgg,second_object,sandbar,7
From_right,Sunglasses,incep,third_object,hammer,7
From_right,Sunglasses,NAS,third_object,sandbar,4
From_right,Sunglasses,vgg,third_object,hook,6
From_right,Umbrella,incep,first_object,umbrella,100
From_right,Umbrella,NAS,first_object,umbrella,91
From_right,Umbrella,vgg,first_object,umbrella,61
From_right,Umbrella,incep,second_object,mountain_tent,0
From_right,Umbrella,NAS,second_object,kimono,0
From_right,Umbrella,vgg,second_object,mortarboard,3
From_right,Umbrella,incep,third_object,lampshade,0
From_right,Umbrella,NAS,third_object,table_lamp,0
From_right,Umbrella,vgg,third_object,table_lamp,2
From_right,Wine_bottle,incep,first_object,wine_bottle,84
From_right,Wine_bottle,NAS,first_object,wine_bottle,84
From_right,Wine_bottle,vgg,first_object,beer_bottle,43
From_right,Wine_bottle,incep,second_object,beer_bottle,10
From_right,Wine_bottle,NAS,second_object,beer_bottle,3
From_right,Wine_bottle,vgg,second_object,wine_bottle,39
From_right,Wine_bottle,incep,third_object,red_wine,1
From_right,Wine_bottle,NAS,third_object,red_wine,2
From_right,Wine_bottle,vgg,third_object,pop_bottle,12
On_its_side,Coffee_mug,incep,first_object,pitcher,26
On_its_side,Coffee_mug,NAS,first_object,coffee_mug,51
On_its_side,Coffee_mug,vgg,first_object,toilet_tissue,16
On_its_side,Coffee_mug,incep,second_object,teapot,21
On_its_side,Coffee_mug,NAS,second_object,water_jug,9
On_its_side,Coffee_mug,vgg,second_object,coffee_mug,9
On_its_side,Coffee_mug,incep,third_object,piggy_bank,11
On_its_side,Coffee_mug,NAS,third_object,pitcher,7
On_its_side,Coffee_mug,vgg,third_object,teapot,5
On_its_side,Hammer,incep,first_object,hammer,96
On_its_side,Hammer,NAS,first_object,hammer,90
On_its_side,Hammer,vgg,first_object,nail,32
On_its_side,Hammer,incep,second_object,hatchet,1
On_its_side,Hammer,NAS,second_object,nail,1
On_its_side,Hammer,vgg,second_object,vacuum,10
On_its_side,Hammer,incep,third_object,reel,1
On_its_side,Hammer,NAS,third_object,hatchet,0
On_its_side,Hammer,vgg,third_object,unicycle,8
