Position,Object,Model,,Selected_object,Confidence_rating
Rotated_upside_down,Hammer,NAS,third_object,screwdriver,0
Rotated_upside_down,Hammer,vgg,third_object,scabbard,3
Rotated_upside_down,Notebook,incep,first_object,notebook,33
Rotated_upside_down,Notebook,NAS,first_object,notebook,47
Rotated_upside_down,Notebook,vgg,first_object,notebook,40
Rotated_upside_down,Notebook,incep,second_object,laptop,6
Rotated_upside_down,Notebook,NAS,second_object,laptop,26
Rotated_upside_down,Notebook,vgg,second_object,laptop,19
Rotated_upside_down,Notebook,incep,third_object,computer_keyboard,5
Rotated_upside_down,Notebook,NAS,third_object,mouse,1
Rotated_upside_down,Notebook,vgg,third_object,loudspeaker,2
Rotated_upside_down,Pot,incep,first_object,pitcher,23
Rotated_upside_down,Pot,NAS,first_object,Crock_Pot,81
Rotated_upside_down,Pot,vgg,first_object,coffeepot,35
Rotated_upside_down,Pot,incep,second_object,water_jug,21
Rotated_upside_down,Pot,NAS,second_object,Dutch_oven,6
Rotated_upside_down,Pot,vgg,second_object,measuring_cup,9
Rotated_upside_down,Pot,incep,third_object,coffee_mug,13
Rotated_upside_down,Pot,NAS,third_object,coffeepot,2
Rotated_upside_down,Pot,vgg,third_object,espresso_maker,8
Rotated_upside_down,Soap_dispenser,incep,first_object,soap_dispenser,87
Rotated_upside_down,Soap_dispenser,NAS,first_object,soap_dispenser,53
Rotated_upside_down,Soap_dispenser,vgg,first_object,soap_dispenser,43
Rotated_upside_down,Soap_dispenser,incep,second_object,lotion,10
Rotated_upside_down,Soap_dispenser,NAS,second_object,water_bottle,27
Rotated_upside_down,Soap_dispenser,vgg,second_object,water_bottle,10
Rotated_upside_down,Soap_dispenser,incep,third_object,hair_spray,0
Rotated_upside_down,Soap_dispenser,NAS,third_object,lotion,7
Rotated_upside_down,Soap_dispenser,vgg,third_object,medicine_chest,3
Rotated_upside_down,Sunglasses,incep,first_object,pick,61
Rotated_upside_down,Sunglasses,NAS,first_object,sunglasses,33
Rotated_upside_down,Sunglasses,vgg,first_object,puck,96
Rotated_upside_down,Sunglasses,incep,second_object,sunglasses,15
Rotated_upside_down,Sunglasses,NAS,second_object,sunglass,31
Rotated_upside_down,Sunglasses,vgg,second_object,screw,1
Rotated_upside_down,Sunglasses,incep,third_object,sunglass,5
Rotated_upside_down,Sunglasses,NAS,third_object,pick,21
Rotated_upside_down,Sunglasses,vgg,third_object,pick,1
Rotated_upside_down,Umbrella,incep,first_object,umbrella,100
Rotated_upside_down,Umbrella,NAS,first_object,umbrella,89
Rotated_upside_down,Umbrella,vgg,first_object,umbrella,99
Rotated_upside_down,Umbrella,incep,second_object,mountain_tent,0
Rotated_upside_down,Umbrella,NAS,second_object,kimono,0
Rotated_upside_down,Umbrella,vgg,second_object,parachute,0
Rotated_upside_down,Umbrella,incep,third_object,miniskirt,0
Rotated_upside_down,Umbrella,NAS,third_object,parachute,0
Rotated_upside_down,Umbrella,vgg,third_object,lampshade,0
Rotated_upside_down,Wine_bottle,incep,first_object,beer_bottle,38
Rotated_upside_down,Wine_bottle,NAS,first_object,beer_bottle,76
Rotated_upside_down,Wine_bottle,vgg,first_object,wine_bottle,48
Rotated_upside_down,Wine_bottle,incep,second_object,wine_bottle,18
Rotated_upside_down,Wine_bottle,NAS,second_object,wine_bottle,15
Rotated_upside_down,Wine_bottle,vgg,second_object,beer_bottle,36
Rotated_upside_down,Wine_bottle,incep,third_object,red_wine,2
Rotated_upside_down,Wine_bottle,NAS,third_object,red_wine,1
Rotated_upside_down,Wine_bottle,vgg,third_object,red_wine,5
straight_45,Coffee_mug,incep,first_object,coffee_mug,77
straight_45,Coffee_mug,NAS,first_object,coffee_mug,77
straight_45,Coffee_mug,vgg,first_object,cup,50
straight_45,Coffee_mug,incep,second_object,cup,18
straight_45,Coffee_mug,NAS,second_object,cup,13
straight_45,Coffee_mug,vgg,second_object,coffee_mug,30
straight_45,Coffee_mug,incep,third_object,cofeepot,0
straight_45,Coffee_mug,NAS,third_object,coffeepot,0
straight_45,Coffee_mug,vgg,third_object,coffeepot,0
straight_45,Hammer,incep,first_object,hammer,99
straight_45,Hammer,NAS,first_object,hammer,92
straight_45,Hammer,vgg,first_object,hammer,88
straight_45,Hammer,incep,second_object,crutch,0
straight_45,Hammer,NAS,second_object,nail,2
straight_45,Hammer,vgg,second_object,shovel,1
straight_45,Hammer,incep,third_object,nail,0
straight_45,Hammer,NAS,third_object,piggy_bank,0
straight_45,Hammer,vgg,third_object,hatchet,1
straight_45,Notebook,incep,first_object,notebook,80
straight_45,Notebook,NAS,first_object,notebook,78
straight_45,Notebook,vgg,first_object,notebook,57
straight_45,Notebook,incep,second_object,computer_keyboard,2
straight_45,Notebook,NAS,second_object,laptop,8
straight_45,Notebook,vgg,second_object,laptop,38
straight_45,Notebook,incep,third_object,laptop,2
straight_45,Notebook,NAS,third_object,space_bar,2
straight_45,Notebook,vgg,third_object,space_bar,1
straight_45,Pot,incep,first_object,measuring_cup,39
straight_45,Pot,NAS,first_object,measuring_cup,92
straight_45,Pot,vgg,first_object,measuring_cup,44
straight_45,Pot,incep,second_object,strainer,19
straight_45,Pot,NAS,second_object,bucket,3
straight_45,Pot,vgg,second_object,bucket,37
straight_45,Pot,incep,third_object,caldron,7
straight_45,Pot,NAS,third_object,Dutch_oven,1
straight_45,Pot,vgg,third_object,strainer,10
straight_45,Soap_dispenser,incep,first_object,soap_dispenser,79
straight_45,Soap_dispenser,NAS,first_object,soap_dispenser,53
straight_45,Soap_dispenser,vgg,first_object,soap_dispenser,72
straight_45,Soap_dispenser,incep,second_object,lotion,20
straight_45,Soap_dispenser,NAS,second_object,lotion,27
straight_45,Soap_dispenser,vgg,second_object,water_bottle,15
straight_45,Soap_dispenser,incep,third_object,sunscreen,0
straight_45,Soap_dispenser,NAS,third_object,sunscreen,1
straight_45,Soap_dispenser,vgg,third_object,lotion,5
straight_45,Sunglasses,incep,first_object,ladle,7
straight_45,Sunglasses,NAS,first_object,strainer,45
straight_45,Sunglasses,vgg,first_object,puck,79
straight_45,Sunglasses,incep,second_object,wok,5
straight_45,Sunglasses,NAS,second_object,safety_pin,20
straight_45,Sunglasses,vgg,second_object,tick,6
straight_45,Sunglasses,incep,third_object,goblet,5
straight_45,Sunglasses,NAS,third_object,bucket,4
straight_45,Sunglasses,vgg,third_object,pick,4
straight_45,Umbrella,incep,first_object,umbrella,100
straight_45,Umbrella,NAS,first_object,umbrella,89
straight_45,Umbrella,vgg,first_object,umbrella,92
straight_45,Umbrella,incep,second_object,mountain_tent,0
straight_45,Umbrella,NAS,second_object,kimono,0
straight_45,Umbrella,vgg,second_object,barn,1
straight_45,Umbrella,incep,third_object,doormat,0
straight_45,Umbrella,NAS,third_object,mountain_tent,0
straight_45,Umbrella,vgg,third_object,quilt,1
straight_45,Wine_bottle,incep,first_object,beer_bottle,43
straight_45,Wine_bottle,NAS,first_object,wine_bottle,71
straight_45,Wine_bottle,vgg,first_object,beer_bottle,76
straight_45,Wine_bottle,incep,second_object,pop_bottle,3
straight_45,Wine_bottle,NAS,second_object,beer_bottle,12
straight_45,Wine_bottle,vgg,second_object,wine_bottle,14
straight_45,Wine_bottle,incep,third_object,wine_bottle,3
straight_45,Wine_bottle,NAS,third_object,red_wine,2
straight_45,Wine_bottle,vgg,third_object,pop_bottle,6
upside_down,Coffee_mug,incep,first_object,coffee_mug,90
upside_down,Coffee_mug,NAS,first_object,coffee_mug,84
upside_down,Coffee_mug,vgg,first_object,coffee_mug,84
upside_down,Coffee_mug,incep,second_object,cup,2
upside_down,Coffee_mug,NAS,second_object,cup,3
upside_down,Coffee_mug,vgg,second_object,cup,14
upside_down,Coffee_mug,incep,third_object,pitcher,1
upside_down,Coffee_mug,NAS,third_object,espresso,0
upside_down,Coffee_mug,vgg,third_object,thimble,1
upside_down,Hammer,incep,first_object,hammer,78
upside_down,Hammer,NAS,first_object,hammer,95
upside_down,Hammer,vgg,first_object,vacuum,24
upside_down,Hammer,incep,second_object,vacuum,24
upside_down,Hammer,NAS,second_object,hatchet,0
upside_down,Hammer,vgg,second_object,Indian_cobra,9
upside_down,Hammer,incep,third_object,quill,2
upside_down,Hammer,NAS,third_object,screwdriver,0
upside_down,Hammer,vgg,third_object,torch,7
upside_down,Notebook,incep,first_object,pedestal,12
upside_down,Notebook,NAS,first_object,laptop,70
upside_down,Notebook,vgg,first_object,washbasin,26
upside_down,Notebook,incep,second_object,chest,6
upside_down,Notebook,NAS,second_object,notebook,11
upside_down,Notebook,vgg,second_object,pedestal,9
upside_down,Notebook,incep,third_object,wallet,5
upside_down,Notebook,NAS,third_object,loudspeaker,2
upside_down,Notebook,vgg,third_object,ashcan,4
upside_down,Pot,incep,first_object,cup,27
upside_down,Pot,NAS,first_object,Crock_Pot,92
upside_down,Pot,vgg,first_object,coffeepot,8
upside_down,Pot,incep,second_object,coffee_mug,13
upside_down,Pot,NAS,second_object,ashcan,1
upside_down,Pot,vgg,second_object,ashcan,6
upside_down,Pot,incep,third_object,cofeepot,5
upside_down,Pot,NAS,third_object,bucket,1
upside_down,Pot,vgg,third_object,go-kart,6
upside_down,Soap_dispenser,incep,first_object,soap_dispenser,48
upside_down,Soap_dispenser,NAS,first_object,soap_dispenser,91
upside_down,Soap_dispenser,vgg,first_object,parking_meter,71
upside_down,Soap_dispenser,incep,second_object,parking_meter,30
upside_down,Soap_dispenser,NAS,second_object,goblet,2
upside_down,Soap_dispenser,vgg,second_object,goblet,5
upside_down,Soap_dispenser,incep,third_object,sunscreen,8
upside_down,Soap_dispenser,NAS,third_object,lotion,1
upside_down,Soap_dispenser,vgg,third_object,soap_dispenser,4
upside_down,Sunglasses,incep,first_object,puck,51
upside_down,Sunglasses,NAS,first_object,sunglasses,34
upside_down,Sunglasses,vgg,first_object,puck,43
upside_down,Sunglasses,incep,second_object,screw,8
upside_down,Sunglasses,NAS,second_object,screw,27
upside_down,Sunglasses,vgg,second_object,screw,22
upside_down,Sunglasses,incep,third_object,American_coot,4
upside_down,Sunglasses,NAS,third_object,sunglass,21
upside_down,Sunglasses,vgg,third_object,nail,21
upside_down,Umbrella,incep,first_object,umbrella,96
upside_down,Umbrella,NAS,first_object,umbrella,99
upside_down,Umbrella,vgg,first_object,wreck,45
upside_down,Umbrella,incep,second_object,wok,1
upside_down,Umbrella,NAS,second_object,speedboat,0
upside_down,Umbrella,vgg,second_object,pirate,13
upside_down,Umbrella,incep,third_object,barrow,1
upside_down,Umbrella,NAS,third_object,washbsin,0
upside_down,Umbrella,vgg,third_object,aircraft_carrier,10
upside_down,Wine_bottle,incep,first_object,beer_bottle,16
upside_down,Wine_bottle,NAS,first_object,beer_bottle,51
upside_down,Wine_bottle,vgg,first_object,beer_bottle,47
upside_down,Wine_bottle,incep,second_object,pop_bottle,6
upside_down,Wine_bottle,NAS,second_object,wine_bottle,39
upside_down,Wine_bottle,vgg,second_object,beer_glass,34
upside_down,Wine_bottle,incep,third_object,beer_glass,5
upside_down,Wine_bottle,NAS,third_object,pop_bottle,3
upside_down,Wine_bottle,vgg,third_object,wine_bottle,6
